Task,Station,Task_Time
355,143,535
316,144,567
323,145,489
324,145,447
344,146,499
338,146,404
328,147,378
364,147,401
270,148,358
273,148,529
14,149,546
36,150,658
41,151,689
157,152,473
180,152,419
179,153,521
182,153,466
183,154,328
181,154,645
197,155,726
205,156,380
200,156,456
229,157,279
235,157,228
257,158,667
245,158,212
203,159,427
222,159,437
225,160,600
248,160,397
256,161,419
254,161,398
199,162,568
214,162,323
233,163,494
255,163,476
258,164,587
263,164,310
234,165,408
249,165,529
260,166,470
277,166,497
296,167,514
290,168,515
304,169,670
286,170,429
259,170,565
276,171,694
280,172,315
291,172,661
309,173,472
301,174,636
261,175,555
272,175,273
284,176,490
287,177,615
289,178,617
266,179,547
282,180,549
275,180,322
288,181,517
300,181,355
298,182,301
302,183,752
265,184,421
283,184,214
294,185,624
303,185,282
307,186,642
318,187,495
339,187,501
343,188,569
360,189,528
367,190,680
385,191,586
403,191,337
326,192,556
312,192,386
322,193,513
345,194,711
368,195,646
363,196,398
384,196,516
395,197,516
325,198,636
349,199,420
347,199,451
370,200,392
362,200,604
356,201,479
366,201,454
389,202,475
391,202,460
397,203,750
429,204,700
408,205,709
353,206,506
369,207,576
352,207,382
388,208,502
399,208,371
413,209,571
390,209,373
448,210,563
432,211,470
431,211,501
320,212,584
327,213,666
342,214,560
348,215,488
346,216,581
361,217,487
357,217,413
383,218,450
398,218,502
314,219,616
321,219,377
319,220,479
359,220,486
381,221,374
171,221,585
186,222,519
211,222,371
196,223,686
351,224,683
380,225,732
405,226,554
424,226,432
379,227,747
409,228,437
393,229,614
411,230,493
414,231,641
426,232,639
415,233,732
396,234,523
412,235,647
400,236,727
427,237,564
422,238,529
394,238,315
416,239,527
401,239,365
417,240,567
386,241,590
382,242,555
378,242,363
377,243,398
452,243,576
450,244,526
441,245,535
464,246,675
462,247,401
476,247,542
487,248,621
484,248,305
451,249,579
445,249,417
447,250,569
465,251,573
481,251,423
498,252,558
491,253,592
488,254,507
434,255,553
523,256,642
513,257,561
540,258,618
555,259,479
510,259,463
532,260,382
561,261,757
568,262,515
529,262,462
595,263,761
602,264,520
609,264,254
632,265,693
638,266,485
585,266,299
611,267,424
615,267,238
623,267,269
640,268,499
635,269,629
656,269,288
675,270,655
669,271,403
691,271,502
689,272,355
713,272,640
718,273,400
658,274,674
657,275,572
677,276,616
672,277,585
686,277,362
687,278,529
674,278,466
698,279,629
685,280,488
695,281,542
696,281,444
717,282,326
705,282,557
715,283,525
714,284,580
739,285,543
712,285,446
737,286,583
756,287,485
777,288,610
69,289,610
85,290,586
220,290,413
238,291,382
239,291,537
241,292,403
240,292,517
243,293,527
242,293,440
253,294,496
246,294,501
264,295,562
278,296,592
271,297,595
281,298,491
293,299,545
299,300,620
262,301,509
274,302,524
295,302,406
297,303,306
305,303,429
310,304,379
313,304,260
334,305,381
332,305,528
329,306,303
336,306,534
333,307,357
340,307,415
330,308,581
331,309,645
335,310,528
354,311,598
371,312,614
387,313,537
407,313,348
421,314,286
358,314,502
365,315,521
449,316,572
454,317,434
463,318,620
475,319,487
474,319,513
433,320,464
311,320,478
350,321,606
375,321,391
374,322,656
376,322,110
404,323,791
418,324,529
420,325,578
419,325,298
373,326,522
456,327,626
466,327,361
490,328,425
468,328,383
492,329,445
477,329,551
493,330,561
467,330,423
506,331,596
502,332,417
495,332,467
469,333,436
501,334,567
503,335,492
471,335,498
505,336,752
472,337,528
494,337,448
480,338,624
485,338,368
499,339,572
470,339,427
500,340,654
483,341,554
508,342,624
435,343,503
460,343,367
473,344,508
486,345,752
489,346,536
482,346,359
504,347,545
496,347,274
455,348,640
461,349,612
458,350,449
479,350,447
439,351,508
446,351,480
453,352,450
440,352,346
459,353,430
436,353,534
438,354,344
444,354,429
520,355,554
537,355,432
563,356,607
572,357,573
574,358,490
542,358,369
559,359,448
579,359,536
591,360,590
514,361,467
533,361,335
512,362,747
530,363,544
518,364,535
538,364,407
549,365,284
564,365,482
521,366,564
539,367,765
515,368,613
534,369,477
557,370,609
553,371,672
573,372,564
577,373,512
517,373,321
535,374,643
558,375,546
525,376,557
528,377,565
551,377,397
519,378,578
522,379,827
527,380,650
582,381,622
583,382,457
607,383,570
598,384,504
613,384,430
630,385,623
586,386,418
610,386,561
603,387,564
612,388,625
622,389,611
626,390,528
631,391,597
649,391,340
639,392,494
642,392,505
636,393,399
644,393,239
587,394,520
593,394,395
614,395,423
627,395,499
625,396,591
647,397,427
580,397,405
600,398,437
608,398,510
629,399,573
645,399,400
589,400,600
651,400,324
655,401,694
661,402,525
679,402,451
653,403,393
678,404,670
690,405,558
693,406,497
701,407,639
707,408,540
736,408,457
735,409,568
710,409,413
706,410,489
652,411,556
641,411,326
681,412,550
684,413,579
699,413,299
738,414,525
716,414,449
749,415,416
763,415,426
770,416,473
742,416,411
790,417,397
801,417,498
825,418,619
788,419,530
806,419,389
819,420,405
848,420,424
855,421,539
876,422,519
883,423,626
877,424,733
904,425,616
932,426,593
952,427,558
912,427,262
924,428,509
948,429,607
935,430,643
859,431,556
786,431,348
803,432,660
834,433,524
835,433,375
830,434,446
852,434,415
864,435,518
879,435,478
794,436,593
810,436,359
811,437,532
831,438,776
849,439,558
847,440,504
837,440,484
857,441,766
869,442,769
868,443,758
882,444,528
861,444,471
800,445,445
824,445,445
844,446,381
836,446,459
846,447,622
871,448,401
874,448,314
863,449,551
878,450,563
856,450,386
890,451,902
853,452,489
858,452,325
700,453,481
725,454,536
743,455,606
730,456,697
722,457,521
726,458,646
723,459,642
728,460,500
732,460,473
721,461,523
727,461,450
724,462,697
719,463,623
729,464,586
720,465,665
731,466,712
372,467,430
392,467,378
406,468,526
425,469,691
410,470,624
430,470,355
402,471,604
428,472,498
423,472,430
437,473,747
457,474,519
478,475,658
497,476,489
507,476,497
442,477,413
443,478,711
511,479,388
516,479,599
541,480,520
550,480,403
556,481,324
509,481,564
524,482,742
536,483,591
562,483,201
552,484,368
554,484,628
566,485,454
576,485,449
575,486,394
531,486,321
560,487,587
570,488,679
581,489,511
606,490,627
588,491,519
604,491,317
578,492,476
526,492,451
546,493,537
547,493,445
545,494,433
548,494,449
543,495,612
544,496,487
569,496,413
571,497,333
565,497,587
567,498,264
594,498,538
590,499,340
601,499,623
634,500,395
643,500,365
592,501,494
599,501,458
628,502,455
633,502,440
596,503,623
584,504,497
660,504,378
682,505,662
605,506,450
753,507,591
760,508,539
767,509,561
796,509,371
807,510,374
817,510,356
795,511,292
812,511,330
818,512,449
597,512,521
620,513,487
621,514,556
619,514,407
618,515,484
616,515,516
617,516,399
637,516,520
650,517,300
648,517,448
646,518,673
659,519,385
671,519,580
665,520,455
680,520,501
662,521,229
670,521,397
688,521,162
667,522,648
676,523,513
703,523,187
709,524,464
663,525,563
664,525,415
668,526,651
697,527,569
624,527,361
745,528,505
750,529,573
775,530,458
758,530,527
751,531,509
764,532,670
787,533,686
808,534,434
789,534,546
752,535,323
776,535,246
746,535,407
772,536,356
779,536,596
748,537,529
769,537,439
765,538,451
781,538,446
783,539,578
809,540,834
828,541,327
813,541,388
827,542,384
838,542,519
854,543,521
875,544,510
901,545,626
929,546,637
916,547,535
917,547,420
921,548,640
918,549,419
922,549,524
923,550,761
919,551,577
920,551,220
941,552,528
940,552,430
945,553,429
936,554,670
951,555,567
934,556,502
944,556,328
943,557,649
947,558,663
937,559,601
942,560,634
939,561,491
814,561,471
785,562,435
802,562,506
820,563,520
780,563,442
793,564,696
798,565,379
762,565,489
744,566,576
768,566,366
759,567,584
774,567,409
771,568,662
792,569,411
782,569,321
815,570,703
784,571,408
804,571,479
816,572,532
821,573,499
842,574,513
850,574,213
822,575,380
833,575,534
829,576,689
851,577,502
867,578,594
884,579,522
905,580,605
928,581,531
950,582,472
907,582,482
909,583,327
915,583,569
866,584,377
881,584,594
886,585,574
906,585,337
925,586,678
870,586,319
805,587,640
823,588,382
840,588,446
841,589,552
832,590,478
843,590,410
839,591,461
865,591,480
891,592,312
889,592,608
887,593,255
862,593,304
888,594,583
885,595,596
902,596,561
911,597,460
926,597,517
949,598,663
908,599,548
910,599,417
914,600,652
930,601,466
938,601,406
946,602,472
900,602,409
791,603,421
799,603,486
826,604,536
845,605,533
860,605,451
872,606,374
880,606,544
913,607,450
927,607,353
953,608,557
903,608,431
931,609,634
757,610,406
755,610,384
761,611,521
766,612,853
778,613,537
754,613,266
741,614,435
873,614,378
899,615,588
895,616,467
893,616,366
894,617,667
896,618,497
897,619,711
898,620,619
892,621,513
933,622,505
747,622,492
773,623,108
797,623,526
654,624,596
666,625,564
673,626,677
694,627,336
683,627,526
692,628,413
711,628,398
734,629,503
702,629,278
704,630,475
708,630,519
740,631,669
733,632,641
973,633,579
975,634,734
976,635,556
970,636,517
984,637,610
995,638,634
966,639,448
986,639,491
974,640,460
988,640,342
989,641,266
961,641,472
993,642,764
967,643,560
998,643,355
968,644,408
987,644,241
960,645,548
982,646,540
979,646,285
980,647,563
983,648,556
981,649,482
978,650,579
985,650,257
972,651,488
965,651,477
977,652,477
991,652,370
962,653,586
964,654,553
963,655,566
996,656,512
959,656,409
992,657,609
954,658,503
994,658,464
999,659,428
958,659,562
997,660,530
956,661,494
957,661,431
990,662,589
955,662,286
971,663,685
1000,663,294
969,664,425
