Station,Load,Capacity,Idle_Time
146,957,1000,43
147,959,1000,41
148,939,1000,61
149,868,1000,132
150,600,1000,400
151,774,1000,226
152,898,1000,102
153,589,1000,411
154,580,1000,420
155,628,1000,372
156,960,1000,40
157,982,1000,18
158,655,1000,345
159,897,1000,103
160,569,1000,431
161,696,1000,304
162,686,1000,314
163,859,1000,141
164,705,1000,295
165,909,1000,91
166,620,1000,380
167,668,1000,332
168,616,1000,384
169,975,1000,25
170,601,1000,399
171,562,1000,438
172,643,1000,357
173,568,1000,432
174,781,1000,219
175,636,1000,364
176,960,1000,40
177,821,1000,179
178,993,1000,7
179,846,1000,154
180,881,1000,119
181,758,1000,242
182,813,1000,187
183,994,1000,6
184,572,1000,428
185,473,1000,527
186,950,1000,50
187,841,1000,159
188,617,1000,383
189,901,1000,99
190,933,1000,67
191,725,1000,275
192,860,1000,140
193,849,1000,151
194,695,1000,305
195,374,1000,626
196,749,1000,251
197,487,1000,513
198,584,1000,416
199,713,1000,287
200,991,1000,9
201,526,1000,474
202,643,1000,357
203,738,1000,262
204,937,1000,63
205,598,1000,402
206,960,1000,40
207,975,1000,25
208,780,1000,220
209,496,1000,504
210,528,1000,472
211,826,1000,174
212,853,1000,147
213,835,1000,165
214,864,1000,136
215,864,1000,136
216,655,1000,345
217,771,1000,229
218,874,1000,126
219,915,1000,85
220,821,1000,179
221,607,1000,393
222,483,1000,517
223,964,1000,36
224,768,1000,232
225,653,1000,347
226,719,1000,281
227,591,1000,409
228,901,1000,99
229,873,1000,127
230,569,1000,431
231,485,1000,515
232,567,1000,433
233,572,1000,428
234,968,1000,32
235,976,1000,24
236,568,1000,432
237,675,1000,325
238,999,1000,1
239,827,1000,173
240,659,1000,341
241,603,1000,397
242,939,1000,61
243,902,1000,98
244,743,1000,257
245,682,1000,318
246,631,1000,369
247,530,1000,470
248,507,1000,493
249,555,1000,445
250,986,1000,14
251,644,1000,356
252,873,1000,127
253,582,1000,418
254,572,1000,428
255,985,1000,15
256,891,1000,109
257,659,1000,341
258,956,1000,44
259,615,1000,385
260,560,1000,440
261,937,1000,63
262,930,1000,70
263,514,1000,486
264,611,1000,389
265,746,1000,254
266,931,1000,69
267,971,1000,29
268,686,1000,314
269,556,1000,444
270,965,1000,35
271,679,1000,321
272,989,1000,11
273,927,1000,73
274,501,1000,499
275,993,1000,7
276,477,1000,523
277,577,1000,423
278,532,1000,468
279,720,1000,280
280,920,1000,80
281,842,1000,158
282,585,1000,415
283,912,1000,88
284,592,1000,408
285,989,1000,11
286,934,1000,66
287,969,1000,31
288,887,1000,113
289,506,1000,494
290,526,1000,474
291,486,1000,514
292,619,1000,381
293,743,1000,257
294,481,1000,519
295,878,1000,122
296,651,1000,349
297,581,1000,419
298,580,1000,420
299,648,1000,352
300,647,1000,353
301,912,1000,88
302,621,1000,379
303,678,1000,322
304,971,1000,29
305,536,1000,464
306,478,1000,522
307,558,1000,442
308,903,1000,97
309,521,1000,479
310,557,1000,443
311,948,1000,52
312,871,1000,129
313,799,1000,201
314,601,1000,399
315,721,1000,279
316,953,1000,47
317,571,1000,429
318,955,1000,45
319,991,1000,9
320,984,1000,16
321,932,1000,68
322,479,1000,521
323,900,1000,100
324,767,1000,233
325,612,1000,388
326,581,1000,419
327,911,1000,89
328,557,1000,443
329,934,1000,66
330,918,1000,82
331,942,1000,58
332,762,1000,238
333,859,1000,141
334,606,1000,394
335,544,1000,456
336,976,1000,24
337,673,1000,327
338,986,1000,14
339,925,1000,75
340,983,1000,17
341,833,1000,167
342,633,1000,367
343,803,1000,197
344,989,1000,11
345,879,1000,121
346,589,1000,411
347,497,1000,503
348,647,1000,353
349,509,1000,491
350,688,1000,312
351,912,1000,88
352,704,1000,296
353,598,1000,402
354,963,1000,37
355,930,1000,70
356,474,1000,526
357,969,1000,31
358,813,1000,187
359,736,1000,264
360,902,1000,98
361,681,1000,319
362,455,1000,545
363,949,1000,51
364,643,1000,357
365,690,1000,310
366,772,1000,228
367,581,1000,419
368,595,1000,405
369,495,1000,505
370,594,1000,406
371,648,1000,352
372,943,1000,57
373,489,1000,511
374,564,1000,436
375,603,1000,397
376,641,1000,359
377,913,1000,87
378,631,1000,369
379,532,1000,468
380,700,1000,300
381,962,1000,38
382,550,1000,450
383,678,1000,322
384,634,1000,366
385,999,1000,1
386,503,1000,497
387,745,1000,255
388,567,1000,433
389,959,1000,41
390,969,1000,31
391,996,1000,4
392,981,1000,19
393,571,1000,429
394,720,1000,280
395,808,1000,192
396,925,1000,75
397,727,1000,273
398,947,1000,53
399,438,1000,562
400,683,1000,317
401,579,1000,421
402,968,1000,32
403,931,1000,69
404,905,1000,95
405,736,1000,264
406,723,1000,277
407,467,1000,533
408,563,1000,437
409,825,1000,175
410,408,1000,592
411,650,1000,350
412,683,1000,317
413,862,1000,138
414,783,1000,217
415,956,1000,44
416,716,1000,284
417,492,1000,508
418,684,1000,316
419,408,1000,592
420,730,1000,270
421,898,1000,102
422,830,1000,170
423,944,1000,56
424,861,1000,139
425,738,1000,262
426,969,1000,31
427,600,1000,400
428,589,1000,411
429,923,1000,77
430,822,1000,178
431,851,1000,149
432,826,1000,174
433,981,1000,19
434,930,1000,70
435,950,1000,50
436,954,1000,46
437,881,1000,119
438,806,1000,194
439,565,1000,435
440,631,1000,369
441,899,1000,101
442,590,1000,410
443,676,1000,324
444,873,1000,127
445,381,1000,619
446,737,1000,263
447,531,1000,469
448,520,1000,480
449,989,1000,11
450,799,1000,201
451,588,1000,412
452,939,1000,61
453,950,1000,50
454,551,1000,449
455,568,1000,432
456,636,1000,364
457,489,1000,511
458,577,1000,423
459,556,1000,444
460,658,1000,342
461,628,1000,372
462,736,1000,264
463,944,1000,56
464,869,1000,131
465,984,1000,16
466,524,1000,476
467,966,1000,34
468,492,1000,508
469,777,1000,223
470,645,1000,355
471,817,1000,183
472,936,1000,64
473,900,1000,100
474,992,1000,8
475,950,1000,50
476,968,1000,32
477,958,1000,42
478,996,1000,4
479,803,1000,197
480,990,1000,10
481,913,1000,87
482,961,1000,39
483,691,1000,309
484,704,1000,296
485,608,1000,392
486,548,1000,452
487,613,1000,387
488,895,1000,105
489,813,1000,187
490,460,1000,540
491,621,1000,379
492,520,1000,480
493,581,1000,419
494,950,1000,50
495,620,1000,380
496,510,1000,490
497,530,1000,470
498,875,1000,125
499,882,1000,118
500,707,1000,293
501,930,1000,70
502,938,1000,62
503,409,1000,591
504,637,1000,363
505,561,1000,439
506,509,1000,491
507,597,1000,403
508,576,1000,424
509,643,1000,357
510,506,1000,494
511,540,1000,460
512,628,1000,372
513,945,1000,55
514,707,1000,293
515,453,1000,547
516,739,1000,261
517,817,1000,183
518,785,1000,215
519,312,1000,688
520,750,1000,250
521,864,1000,136
522,891,1000,109
523,755,1000,245
524,564,1000,436
525,538,1000,462
526,634,1000,366
527,538,1000,462
528,963,1000,37
529,956,1000,44
530,559,1000,441
531,841,1000,159
532,934,1000,66
533,427,1000,573
534,664,1000,336
535,931,1000,69
536,578,1000,422
537,680,1000,320
538,512,1000,488
539,532,1000,468
540,679,1000,321
541,985,1000,15
542,803,1000,197
543,597,1000,403
544,975,1000,25
545,867,1000,133
546,910,1000,90
547,811,1000,189
548,873,1000,127
549,736,1000,264
550,585,1000,415
551,749,1000,251
552,626,1000,374
553,642,1000,358
554,966,1000,34
555,709,1000,291
556,839,1000,161
557,754,1000,246
558,670,1000,330
559,969,1000,31
560,522,1000,478
561,965,1000,35
562,494,1000,506
563,561,1000,439
564,785,1000,215
565,639,1000,361
566,576,1000,424
567,620,1000,380
568,896,1000,104
569,679,1000,321
570,783,1000,217
571,664,1000,336
572,566,1000,434
573,980,1000,20
574,553,1000,447
575,631,1000,369
576,972,1000,28
577,484,1000,516
578,519,1000,481
579,956,1000,44
580,916,1000,84
581,983,1000,17
582,630,1000,370
583,599,1000,401
584,962,1000,38
585,636,1000,364
586,766,1000,234
587,559,1000,441
588,831,1000,169
589,611,1000,389
590,815,1000,185
591,993,1000,7
592,958,1000,42
593,934,1000,66
594,735,1000,265
595,929,1000,71
596,520,1000,480
597,715,1000,285
598,806,1000,194
599,727,1000,273
600,628,1000,372
601,989,1000,11
602,994,1000,6
603,633,1000,367
604,952,1000,48
605,998,1000,2
606,985,1000,15
607,636,1000,364
608,674,1000,326
609,908,1000,92
610,951,1000,49
611,911,1000,89
612,649,1000,351
613,573,1000,427
614,595,1000,405
615,970,1000,30
616,886,1000,114
617,573,1000,427
618,950,1000,50
619,731,1000,269
620,987,1000,13
621,828,1000,172
622,888,1000,112
623,648,1000,352
624,972,1000,28
625,879,1000,121
626,592,1000,408
627,793,1000,207
628,939,1000,61
629,650,1000,350
630,993,1000,7
631,545,1000,455
632,947,1000,53
633,645,1000,355
634,921,1000,79
635,947,1000,53
636,924,1000,76
637,848,1000,152
638,931,1000,69
639,885,1000,115
640,587,1000,413
641,769,1000,231
642,972,1000,28
643,910,1000,90
644,562,1000,438
645,616,1000,384
646,830,1000,170
647,630,1000,370
648,507,1000,493
649,559,1000,441
650,577,1000,423
651,992,1000,8
652,952,1000,48
653,844,1000,156
654,701,1000,299
655,765,1000,235
656,953,1000,47
657,998,1000,2
658,890,1000,110
659,984,1000,16
660,682,1000,318
661,587,1000,413
662,502,1000,498
663,574,1000,426
664,594,1000,406
665,462,1000,538
666,849,1000,151
667,991,1000,9
668,729,1000,271
669,551,1000,449
670,813,1000,187
671,954,1000,46
